fips,x,y
16023,-113.08145,43.75942
16025,-114.83587,43.52841
16027,-116.65269,43.58541
16029,-111.57884,42.71899
16031,-113.64410,42.33784
16033,-112.33302,44.27278
16035,-115.63271,46.60107
16037,-114.29311,44.22458
16039,-115.52912,43.43432
16041,-111.84632,42.21446
16043,-111.42059,44.31930
16045,-116.28623,44.15898
16047,-114.84061,42.92409
16049,-115.56061,45.88970
16051,-112.33622,43.84101
16053,-114.27434,42.67266
16055,-116.68553,47.67867
16057,-116.68458,46.83614
16059,-114.08915,44.96813
16061,-116.35987,46.23048
16063,-114.15433,42.98218
16065,-111.69166,43.77774
16067,-113.56362,42.85959
16069,-116.82128,46.24331
16071,-112.54303,42.25052
16073,-116.24019,42.83808
16075,-116.84352,43.97265
16077,-112.81825,42.71893
16079,-116.00997,47.50103
16081,-111.22317,43.74152
16083,-114.55360,42.45570
16085,-115.65748,44.68367
16087,-116.86326,44.49584
17001,-91.18661,39.97882
17003,-89.34766,37.15277
17005,-89.44667,38.88485
17007,-88.82294,42.32424
17009,-90.71255,39.97258
17011,-89.51084,41.36711
17013,-90.65545,39.13433
17015,-89.92574,42.06396
17017,-90.24662,39.99893
17019,-88.20181,40.14001
17021,-89.27957,39.58567
17023,-87.80354,39.32327
17025,-88.47729,38.75769
17027,-89.42368,38.57928
17029,-88.21677,39.53068
17031,-87.55654,41.81174
17033,-87.75867,39.01538
17035,-88.24055,39.27413
17037,-88.77139,41.88920
17039,-88.90779,40.16592
17041,-88.22050,39.76586
17043,-88.09102,41.83989
17045,-87.74957,39.68166
17047,-88.05639,38.41376
17049,-88.58343,39.06530
17051,-89.03176,38.98071
17053,-88.18048,40.69856
17055,-88.92420,37.99425
17057,-90.17684,40.44962
17059,-88.21625,37.74379
17061,-90.38065,39.31975
17063,-88.41807,41.28560
17065,-88.53916,38.08165
17067,-91.14065,40.41627
17069,-88.23782,37.50055
17071,-90.92070,40.85288
17073,-90.14531,41.36610
17075,-87.82548,40.74776
17077,-89.40985,37.75869
17079,-88.15447,39.01058
17081,-88.92359,38.30071
17083,-90.37042,39.09326
17085,-90.18215,42.35073
17087,-88.87731,37.44685
17089,-88.43209,41.93670
17091,-87.88441,41.14671
17093,-88.42890,41.59050
17095,-90.21331,40.93234
17097,-87.63237,42.32273
17099,-88.87598,41.27855
17101,-87.71434,38.71033
17103,-89.28660,41.74810
17105,-88.58697,40.86639
17107,-89.37363,40.12054
17109,-90.67755,40.45843
17111,-88.45227,42.32412
17113,-88.86330,40.52038
17115,-88.98172,39.85488
17117,-89.92512,39.26120
17119,-89.85542,38.82656
17121,-88.91880,38.65051
17123,-89.34291,41.03401
17125,-89.85854,40.24385
17127,-88.69511,37.20098
17129,-89.78707,40.03106
17131,-90.75094,41.19848
17133,-90.14137,38.30493
17135,-89.42090,39.26150
17137,-90.17585,39.70394
17139,-88.64083,39.62097
17141,-89.31361,42.04489
17143,-89.76938,40.74351
17145,-89.35687,38.08469
17147,-88.60405,40.03658
17149,-90.91679,39.62037
17151,-88.59891,37.33413
17153,-89.15131,37.20173
17155,-89.31462,41.21330
17157,-89.82521,38.01314
17159,-88.09653,38.70959
17161,-90.30368,41.55469
17163,-89.93331,38.44008
17165,-88.54055,37.75332
17167,-89.70523,39.74939
17169,-90.62752,40.13218
17171,-90.47824,39.65499
17173,-88.74772,39.43429
17175,-89.81162,41.10441
17177,-89.66063,42.34965
17179,-89.54591,40.53546
17181,-89.25679,37.46489
17183,-87.73619,40.17917
17185,-87.85993,38.40318
17187,-90.61519,40.84794
17189,-89.42477,38.36635
17191,-88.42375,38.43234
17193,-88.16902,38.07277
17195,-89.93823,41.75705
17197,-87.88899,41.46518
17199,-88.92968,37.72981
17201,-89.16901,42.32486
17203,-89.24272,40.76090
18001,-84.93662,40.74550
18003,-85.07023,41.09322
18005,-85.88420,39.19308
18007,-87.31121,40.60636
18009,-85.32610,40.47307
18011,-86.46862,40.05220
18013,-86.22635,39.19627
18015,-86.57284,40.58455
18017,-86.37370,40.73677
18019,-85.80096,38.43729
18021,-87.09097,39.38821
18023,-86.46896,40.30441
18025,-86.42292,38.26362
18027,-87.09747,38.69735
18029,-84.96026,39.12154
18031,-85.49127,39.29229
18033,-84.99852,41.39661
18035,-85.39651,40.22785
18037,-86.87691,38.36460
18039,-85.85850,41.59777
18041,-85.16775,39.65685
18043,-85.89331,38.29961
18045,-87.26437,40.16029
18047,-85.05714,39.39745
18049,-86.20663,41.04098
18051,-87.56779,38.34985
18053,-85.65499,40.51566
18055,-86.96147,39.03642
18057,-86.05227,40.07246
18059,-85.77499,39.82180
18061,-86.13402,38.19039
18063,-86.50681,39.76249
18065,-85.38839,39.93190
18067,-86.11922,40.47135
18069,-85.48846,40.82907
18071,-86.03712,38.89802
18073,-87.10345,41.01131
18075,-85.00526,40.43976
18077,-85.44314,38.74999
18079,-85.62082,39.00162
18081,-86.10116,39.49062
18083,-87.42986,38.66111
18085,-85.85340,41.23867
18087,-85.42607,41.64171
18089,-87.37272,41.46137
18091,-86.72734,41.49927
18093,-86.47994,38.83932
18095,-85.71932,40.16179
18097,-86.13938,39.77980
18099,-86.26210,41.32588
18101,-86.80338,38.70001
18103,-86.05483,40.78075
18105,-86.52675,39.17374
18107,-86.89398,40.03948
18109,-86.46938,39.48685
18111,-87.40122,40.97865
18113,-85.42326,41.39506
18115,-84.94120,38.96557
18117,-86.49518,38.54085
18119,-86.86978,39.31909
18121,-87.19248,39.77895
18123,-86.61088,38.05383
18125,-87.24033,38.39075
18127,-87.07476,41.49004
18129,-87.86107,38.00120
18131,-86.69921,41.04112
18133,-86.84976,39.66789
18135,-85.01158,40.15718
18137,-85.27181,39.11208
18139,-85.46638,39.62034
18141,-86.27355,41.59675
18143,-85.74827,38.69732
18145,-85.79118,39.52384
18147,-87.01162,37.99395
18149,-86.61667,41.30214
18151,-85.00033,41.64320
18153,-87.41947,39.08041
18155,-85.01128,38.80838
18157,-86.89379,40.38872
18159,-86.05201,40.31141
18161,-84.92494,39.62595
18163,-87.57409,37.99729
18165,-87.45608,39.87755
18167,-87.38546,39.43359
18169,-85.79186,40.84888
18171,-87.38869,40.30210
18173,-87.28477,38.06202
18175,-86.09696,38.59766
18177,-85.01707,39.86021
18179,-85.20266,40.74247
18181,-86.92354,40.73692
18183,-85.51210,41.14844
19001,-94.47074,41.33077
19003,-94.69952,41.02893
19005,-91.34471,43.29068
19007,-92.86804,40.74137
19009,-94.91863,41.68327
19011,-92.06697,42.08030
19013,-92.31790,42.46979
19015,-93.93165,42.03712
19017,-92.31807,42.77489
19019,-91.84499,42.47029
19021,-95.15071,42.73540
19023,-92.79023,42.73383
19025,-94.62715,42.38440
19027,-94.86053,42.03646
19029,-94.92769,41.33137
19031,-91.13218,41.77224
19033,-93.26076,43.08163
19035,-95.62396,42.73558
19037,-92.31766,43.05855
19039,-93.78570,41.02950
19041,-95.15085,43.08252
19043,-91.35259,42.86215
19045,-90.53281,41.88029
19047,-95.38183,42.03729
19049,-94.04740,41.68272
19051,-92.40858,40.74590
19053,-93.78596,40.73770
19055,-91.36970,42.47091
19057,-91.19611,40.88539
19059,-95.15086,43.37812
19061,-90.89527,42.48480
19063,-94.67836,43.37818
19065,-91.84424,42.86300
19067,-92.78875,43.06091
19069,-93.26241,42.73273
19071,-95.63617,40.74117
19073,-94.39684,42.03703
19075,-92.76810,42.38206
19077,-94.51227,41.68272
19079,-93.69740,42.38339
19081,-93.73410,43.08196
19083,-93.23263,42.38327
19085,-95.84005,41.68566
19087,-91.54471,40.98786
19089,-92.31723,43.35730
19091,-94.20729,42.77914
19093,-95.49636,42.38671
19095,-92.06709,41.68648
19097,-90.62891,42.20701
19099,-93.05744,41.68604
19101,-91.94866,41.03174
19103,-91.59978,41.64241
19105,-91.13145,42.12125
19107,-92.17904,41.33654
19109,-94.20645,43.20347
19111,-91.53838,40.59483
19113,-91.59984,42.07922
19115,-91.29978,41.24848
19117,-93.32767,41.02941
19119,-96.19232,43.37892
19121,-94.01575,41.33455
19123,-92.64089,41.33561
19125,-93.09950,41.33459
19127,-92.99900,42.03580
19129,-95.62183,41.03110
19131,-92.78916,43.35650
19133,-95.95073,42.03906
19135,-92.86908,41.02994
19137,-95.15620,41.03028
19139,-91.07701,41.46625
19141,-95.62419,43.08392
19143,-95.62403,43.37812
19145,-95.15680,40.73812
19147,-94.67810,43.08202
19149,-96.24546,42.73541
19151,-94.67854,42.73433
19153,-93.58145,41.67249
19155,-95.55082,41.33304
19157,-92.53323,41.68518
19159,-94.24343,40.73546
19161,-95.08992,42.38536
19163,-90.62029,41.61290
19165,-95.32546,41.68464
19167,-96.15724,43.08434
19169,-93.46521,42.03554
19171,-92.53285,42.07995
19173,-94.69993,40.73567
19175,-94.24289,41.02711
19177,-91.94850,40.74925
19179,-92.40957,41.03075
19181,-93.55924,41.33662
19183,-91.71580,41.33658
19185,-93.32700,40.73865
19187,-94.16464,42.42579
19189,-93.73417,43.37742
19191,-91.84256,43.29164
19193,-96.04077,42.38669
19195,-93.26076,43.37742
19197,-93.73511,42.73259
20001,-95.29961,37.88552
20003,-95.29682,38.21510
20005,-95.33758,39.53571
20007,-98.67539,37.23525
20009,-98.75671,38.47916
20011,-94.84814,37.85555
20013,-95.56427,39.82659
20015,-96.83946,37.78101
20017,-96.59650,38.30435
20019,-96.24491,37.15091
20021,-94.84617,37.16984
20023,-101.73063,39.78225
20025,-99.81788,37.23633
20027,-97.16516,39.34899
20029,-97.64885,39.47978
20031,-95.73789,38.23606
20033,-99.27275,37.19128
20035,-96.83750,37.23849
20037,-94.85256,37.50592
20039,-100.46030,39.78475
20041,-97.14939,38.87108
20043,-95.10801,39.80778
20045,-95.27826,38.90396
20047,-99.29611,37.90880
20049,-96.24407,37.45334
20051,-99.31724,38.91489
20053,-98.20255,38.69469
20055,-100.88358,38.00074
20057,-99.88693,37.69176
20059,-95.28689,38.56079
20061,-96.73210,39.04438
20063,-100.48319,38.91535
20065,-99.88297,39.34972
20067,-101.30826,37.56215
20069,-100.43353,37.73853
20071,-101.80605,38.48275
20073,-96.24188,37.88818
20075,-101.79288,37.99738
20077,-98.07542,37.19290
20079,-97.42734,38.04312
20081,-100.87130,37.56170
20083,-99.89752,38.08752
20085,-95.80279,39.43481
20087,-95.38489,39.22667
20089,-98.21861,39.78540
20091,-94.83196,38.89982
20093,-101.32210,38.00020
20095,-98.13625,37.55939
20097,-99.28558,37.55761
20099,-95.29779,37.19138
20101,-100.46673,38.48115
20103,-95.04048,39.18644
20105,-98.20690,39.04508
20107,-94.84436,38.21322
20109,-101.14819,38.91755
20111,-96.15223,38.45462
20113,-97.64828,38.39285
20115,-97.10466,38.34752
20117,-96.52309,39.78382
20119,-100.36322,37.23765
20121,-94.83862,38.56071
20123,-98.20961,39.39300
20125,-95.74276,37.19307
20127,-96.64173,38.69587
20129,-101.79888,37.19079
20131,-96.01425,39.78282
20133,-95.30680,37.55885
20135,-99.91655,38.47953
20137,-99.90376,39.78434
20139,-95.72925,38.65184
20141,-98.76825,39.35040
20143,-97.65061,39.13231
20145,-99.24116,38.17560
20147,-99.34696,39.78513
20149,-96.35391,39.34643
20151,-98.74008,37.64863
20153,-101.07538,39.78544
20155,-98.08709,37.95190
20157,-97.65105,39.82780
20159,-98.20226,38.33889
20161,-96.80106,39.30492
20163,-99.32505,39.34931
20165,-99.30959,38.52322
20167,-98.76226,38.91513
20169,-97.65015,38.78369
20171,-100.90711,38.48285
20173,-97.48023,37.69346
20175,-100.85150,37.19432
20177,-95.72409,39.04309
20179,-100.44174,39.35015
20181,-101.71982,39.35085
20183,-98.78532,39.78515
20185,-98.69277,38.04294
20187,-101.78406,37.56587
20189,-101.31172,37.19206
20191,-97.47614,37.23849
20193,-101.05589,39.35143
20195,-99.87298,38.91454
20197,-96.22420,38.97580
20199,-101.76338,38.91619
20201,-97.08762,39.78421
20203,-101.34745,38.48269
20205,-95.74331,37.55908
20207,-95.73890,37.88704
20209,-94.75790,39.09776
21001,-85.30076,37.11824
21003,-86.21586,36.78214
21005,-84.98022,38.00697
21007,-89.01833,37.07168
